experiment,precision,recall,f1,pairs,matches_df,true_matches
Bloom + Rule,0.07442489851150136,0.8249999999999175,0.13653289199971222,198791,"       id_A  id_B       sim     pair
0         0     0  0.977470      0_0
1         0    86  0.857143     0_86
2         0   282  0.862543    0_282
3         0   335  0.854701    0_335
4         0   655  0.888508    0_655
...     ...   ...       ...      ...
11080   987    97  0.883562   987_97
11081   987   446  0.863946  987_446
11082   987   488  0.858120  987_488
11083   987   907  0.876522  987_907
11084   987   987  1.000000  987_987

[11085 rows x 4 columns]","     id_A  id_B     pair
0       0     0      0_0
1       1     1      1_1
2       2     2      2_2
3       3     3      3_3
4       4     4      4_4
..    ...   ...      ...
995   995   995  995_995
996   996   996  996_996
997   997   997  997_997
998   998   998  998_998
999   999   999  999_999

[1000 rows x 3 columns]"
CLK-basic + Rule,0.7841823056299216,0.5849999999999415,0.6701030927344864,198791,"     id_A  id_B       sim      pair
0       0     0  0.893855       0_0
1      20    20  0.867725     20_20
2      20    86  0.852632     20_86
3      36    36  0.898396     36_36
4      36  1093  0.863636   36_1093
..    ...   ...       ...       ...
741   945   945  1.000000   945_945
742   957  1001  0.867052  957_1001
743   968   968  1.000000   968_968
744   977   977  0.892655   977_977
745   987   987  1.000000   987_987

[746 rows x 4 columns]","     id_A  id_B     pair
0       0     0      0_0
1       1     1      1_1
2       2     2      2_2
3       3     3      3_3
4       4     4      4_4
..    ...   ...      ...
995   995   995  995_995
996   996   996  996_996
997   997   997  997_997
998   998   998  998_998
999   999   999  999_999

[1000 rows x 3 columns]"
CLK + Rule,0.2823439878234291,0.7419999999999257,0.4090407937858448,198791,"      id_A  id_B       sim     pair
0        0     0  0.934307      0_0
1        0   655  0.873646    0_655
2        0  1133  0.852941   0_1133
3        6     6  0.911111      6_6
4       20    20  0.919861    20_20
...    ...   ...       ...      ...
2623   977   977  0.936803  977_977
2624   979   979  0.926641  979_979
2625   982   343  0.861314  982_343
2626   987    23  0.878571   987_23
2627   987   987  1.000000  987_987

[2628 rows x 4 columns]","     id_A  id_B     pair
0       0     0      0_0
1       1     1      1_1
2       2     2      2_2
3       3     3      3_3
4       4     4      4_4
..    ...   ...      ...
995   995   995  995_995
996   996   996  996_996
997   997   997  997_997
998   998   998  998_998
999   999   999  999_999

[1000 rows x 3 columns]"
CLK + LSH,0.8633615477628943,0.7139999999999286,0.7816091953526616,129483,"       id_A  id_B       sim     pair
0         0     0  0.926829      0_0
1       956   956  0.905473  956_956
2       406   406  0.905473  406_406
3         0     0  0.926829      0_0
4       176   176  0.920000  176_176
...     ...   ...       ...      ...
10901   999   999  1.000000  999_999
10902   999   999  1.000000  999_999
10903   999   999  1.000000  999_999
10904   999   999  1.000000  999_999
10905   999   999  1.000000  999_999

[10906 rows x 4 columns]","     id_A  id_B     pair
0       0     0      0_0
1       1     1      1_1
2       2     2      2_2
3       3     3      3_3
4       4     4      4_4
..    ...   ...      ...
995   995   995  995_995
996   996   996  996_996
997   997   997  997_997
998   998   998  998_998
999   999   999  999_999

[1000 rows x 3 columns]"
SMPC_Bloom_PSI,0.00830021630866743,0.8249999999999175,0.016435081426385664,198791,"       id_A  id_B       sim      pair
0       973   884  0.512968   973_884
1       343   488  0.695519   343_488
2       876   951  0.482634   876_951
3       206  1156  0.613069  206_1156
4       682  1085  0.770059  682_1085
...     ...   ...       ...       ...
99390   970   263  0.570469   970_263
99391   629   724  0.610600   629_724
99392   446  1017  0.697369  446_1017
99393     9  1016  0.755627    9_1016
99394   934   956  0.553065   934_956

[99395 rows x 4 columns]","     id_A  id_B     pair
0       0     0      0_0
1       1     1      1_1
2       2     2      2_2
3       3     3      3_3
4       4     4      4_4
..    ...   ...      ...
995   995   995  995_995
996   996   996  996_996
997   997   997  997_997
998   998   998  998_998
999   999   999  999_999

[1000 rows x 3 columns]"
